#1,SampleID,Project,Drug_project,Species
1,SH201905-720,HG16S025,SHLY-AD,human
2,SH201905-710,HG16S025,SHLY-AD,human
3,SH201905-675,HG16S025,SHLY-AD,human
4,SH201905-719,HG16S025,SHLY-AD,human
5,SH201905-659,HG16S025,SHLY-AD,human
6,SH201905-601,HG16S025,SHLY-AD,human
7,D1P056F-1,HG16S025,SHJW-DP,human
8,D1P040F-2,HG16S025,SHJW-DP,human
9,D1C036F,HG16S025,SHJW-DP,human
10,D1P053F-1,HG16S025,SHJW-DP,human
11,D1P057F-1,HG16S025,SHJW-DP,human
12,D1P032F-2,HG16S025,SHJW-DP,human
13,D1C035F,HG16S025,SHJW-DP,human
14,D1P060F-1,HG16S025,SHJW-DP,human
15,D1P028F-3,HG16S025,SHJW-DP,human
16,D1P045F-2,HG16S025,SHJW-DP,human
17,D1P061F-1,HG16S025,SHJW-DP,human
18,D1P041F-2,HG16S025,SHJW-DP,human
19,D1P044F-2,HG16S025,SHJW-DP,human
20,D1P037F-2,HG16S025,SHJW-DP,human
21,D1P063F-1,HG16S025,SHJW-DP,human
22,D1P024F-3,HG16S025,SHJW-DP,human
23,D1P065F-1,HG16S025,SHJW-DP,human
24,D1P058F-1,HG16S025,SHJW-DP,human
25,SHRJH-ALS-FE-008,HG16S025,SHRJH-ALS,human
26,SHRJH-NMO-FE-006,HG16S025,SHRJH-NMO,human
27,SHRJH-NMO-FE-005,HG16S025,SHRJH-NMO,human
28,BJTT-2020-144,HG16S025,BJTT-DLB,human
29,BJTT-2020-046,HG16S025,BJTT-DLB,human
30,BJTT-2020-052,HG16S025,BJTT-DLB,human
31,BJTT-2020-050,HG16S025,BJTT-DLB,human
32,BJTT-2020-079,HG16S025,BJTT-DLB,human
33,BJTT-2020-081,HG16S025,BJTT-DLB,human
34,BJTT-2020-025,HG16S025,BJTT-DLB,human
35,BJTT-2020-045,HG16S025,BJTT-DLB,human
36,BJTT-2020-140,HG16S025,BJTT-DLB,human
37,BJTT-2020-141,HG16S025,BJTT-DLB,human
38,BJTT-2020-150,HG16S025,BJTT-DLB,human
39,BJTT-2020-137,HG16S025,BJTT-DLB,human
40,CZH-F-019,HG16S025,SHCZ-CS,human
41,CZH-F-020,HG16S025,SHCZ-CS,human
42,E5351_A,ONC-2021-015,GV009,mice
43,E5352_A,ONC-2021-015,GV009,mice
44,E5353_A,ONC-2021-015,GV009,mice
45,E5354_A,ONC-2021-015,GV009,mice
46,E5355_A,ONC-2021-015,GV009,mice
47,E5356_A,ONC-2021-015,GV009,mice
48,E5357_A,ONC-2021-015,GV009,mice
49,E5358_A,ONC-2021-015,GV009,mice
50,E5359_A,ONC-2021-015,GV009,mice
51,E5360_A,ONC-2021-015,GV009,mice
52,E5361_A,ONC-2021-015,GV009,mice
53,E5362_A,ONC-2021-015,GV009,mice
54,E5363_A,ONC-2021-015,GV009,mice
55,E5364_A,ONC-2021-015,GV009,mice
56,E5365_A,ONC-2021-015,GV009,mice
57,E5366_A,ONC-2021-015,GV009,mice
58,E5367_A,ONC-2021-015,GV009,mice
59,E5368_A,ONC-2021-015,GV009,mice
60,E5369_A,ONC-2021-015,GV009,mice
61,E5370_A,ONC-2021-015,GV009,mice
62,E5371_A,ONC-2021-015,GV009,mice
63,E5372_A,ONC-2021-015,GV009,mice
64,E5373_A,ONC-2021-015,GV009,mice
65,E5374_A,ONC-2021-015,GV009,mice
66,E5375_A,ONC-2021-015,GV009,mice
67,E5376_A,ONC-2021-015,GV009,mice
68,E5377_A,ONC-2021-015,GV009,mice
69,E5378_A,ONC-2021-015,GV009,mice
70,E5379_A,ONC-2021-015,GV009,mice
71,E5380_A,ONC-2021-015,GV009,mice
72,E5432_A,ONC-2021-015,GV009,mice
73,E5381_A,ONC-2021-015,GV009,mice
74,E5382_A,ONC-2021-015,GV009,mice
75,E5383_A,ONC-2021-015,GV009,mice
76,E5384_A,ONC-2021-015,GV009,mice
77,E5385_A,ONC-2021-015,GV009,mice
78,E5386_A,ONC-2021-015,GV009,mice
79,E5387_A,ONC-2021-015,GV009,mice
80,E5388_A,ONC-2021-015,GV009,mice
81,E5389_A,ONC-2021-015,GV009,mice
82,E5390_A,ONC-2021-015,GV009,mice
83,E5431_A,ONC-2021-015,GV009,mice
84,E5351_B,ONC-2021-015,GV009,mice
85,E5352_B,ONC-2021-015,GV009,mice
86,E5353_B,ONC-2021-015,GV009,mice
