#1,SampleID,Project,Drug_project
156,E4486_B,ONC-2020-062,GV009
157,E4487_B,ONC-2020-062,GV009
158,E4488_B,ONC-2020-062,GV009
159,E4489_B,ONC-2020-062,GV009
160,E4490_B,ONC-2020-062,GV009
161,E4446_B,ONC-2020-062,GV009
162,E4447_B,ONC-2020-062,GV009
163,E4448_B,ONC-2020-062,GV009
164,E4449_B,ONC-2020-062,GV009
165,E4450_B,ONC-2020-062,GV009
166,E4651_B,ONC-2020-062,GV009
167,E4652_B,ONC-2020-062,GV009
168,E4653_B,ONC-2020-062,GV009
169,E4654_B,ONC-2020-062,GV009
170,E4655_B,ONC-2020-062,GV009
171,E4442_B,ONC-2020-062,GV009
172,E4451_B,ONC-2020-062,GV009
173,E4452_B,ONC-2020-062,GV009
174,E4453_B,ONC-2020-062,GV009
175,E4454_B,ONC-2020-062,GV009
176,E4455_B,ONC-2020-062,GV009
177,E4476_B,ONC-2020-062,GV009
178,E4477_B,ONC-2020-062,GV009
179,E4478_B,ONC-2020-062,GV009
180,E4479_B,ONC-2020-062,GV009
181,19992_C,ONC-2021-001,GV009
182,19993_C,ONC-2021-001,GV009
183,19994_C,ONC-2021-001,GV009
184,19995_C,ONC-2021-001,GV009
185,19996_C,ONC-2021-001,GV009
186,19997_C,ONC-2021-001,GV009
187,19998_C,ONC-2021-001,GV009
188,19999_C,ONC-2021-001,GV009
189,20000_C,ONC-2021-001,GV009
190,20001_C,ONC-2021-001,GV009
191,20002_C,ONC-2021-001,GV009
192,20003_C,ONC-2021-001,GV009
193,20004_C,ONC-2021-001,GV009
194,20005_C,ONC-2021-001,GV009
195,20006_C,ONC-2021-001,GV009
196,20007_C,ONC-2021-001,GV009
197,20008_C,ONC-2021-001,GV009
198,20009_C,ONC-2021-001,GV009
199,20010_C,ONC-2021-001,GV009
200,20011_C,ONC-2021-001,GV009
201,20012_C,ONC-2021-001,GV009
202,20013_C,ONC-2021-001,GV009
203,20014_C,ONC-2021-001,GV009
204,20015_C,ONC-2021-001,GV009
205,E4480_B,ONC-2020-062,GV009
206,E4456_B,ONC-2020-062,GV009
207,E4457_B,ONC-2020-062,GV009
208,E4458_B,ONC-2020-062,GV009
209,E4459_B,ONC-2020-062,GV009
210,E4460_B,ONC-2020-062,GV009
211,E4656_B,ONC-2020-062,GV009
212,E4657_B,ONC-2020-062,GV009
213,E4658_B,ONC-2020-062,GV009
214,E4659_B,ONC-2020-062,GV009
215,E4660_B,ONC-2020-062,GV009
216,E4445_B,ONC-2020-062,GV009
217,E4461_B,ONC-2020-062,GV009
218,E4462_B,ONC-2020-062,GV009
219,E4463_B,ONC-2020-062,GV009
220,E4464_B,ONC-2020-062,GV009
221,E4465_B,ONC-2020-062,GV009
222,E4481_B,ONC-2020-062,GV009
223,E4482_B,ONC-2020-062,GV009
224,E4483_B,ONC-2020-062,GV009
225,E4484_B,ONC-2020-062,GV009
226,E4485_B,ONC-2020-062,GV009
227,E4661_B,ONC-2020-062,GV009
228,E4662_B,ONC-2020-062,GV009
229,E4663_B,ONC-2020-062,GV009
230,E4664_B,ONC-2020-062,GV009
231,E4665_B,ONC-2020-062,GV009
232,E4443_B,ONC-2020-062,GV009
233,E4496_B,ONC-2020-062,GV009
234,E4497_B,ONC-2020-062,GV009
235,E4498_B,ONC-2020-062,GV009
236,E4499_B,ONC-2020-062,GV009
237,E4500_B,ONC-2020-062,GV009
238,E4466_B,ONC-2020-062,GV009
239,E4467_B,ONC-2020-062,GV009
240,E4468_B,ONC-2020-062,GV009
241,E4469_B,ONC-2020-062,GV009
242,E4470_B,ONC-2020-062,GV009
243,E4471_B,ONC-2020-062,GV009
244,E4472_B,ONC-2020-062,GV009
245,E4473_B,ONC-2020-062,GV009
246,E4474_B,ONC-2020-062,GV009
247,E4475_B,ONC-2020-062,GV009
248,E4491_A,ONC-2020-062,GV009
249,E4492_A,ONC-2020-062,GV009
250,E4493_A,ONC-2020-062,GV009
251,E4494_A,ONC-2020-062,GV009
252,E4495_A,ONC-2020-062,GV009
253,E4486_A,ONC-2020-062,GV009
254,E4487_A,ONC-2020-062,GV009
