#1,SampleID,Project,Drug_project
1,N_C_D1C012F_0h,RPT_20210419,RPT01
2,N_C_D1C009F_0h,RPT_20210419,RPT01
3,N_C_D1C011F_0h,RPT_20210419,RPT01
4,N_C_D1C004F_0h,RPT_20210419,RPT01
5,N_C_D1C001F_0h,RPT_20210419,RPT01
6,N_DP_D1P009F_0h,RPT_20210419,RPT01
7,N_DP_D1P020F_0h,RPT_20210419,RPT01
8,N_DP_D1P029F_0h,RPT_20210419,RPT01
9,N_DP_D1P019F_0h,RPT_20210419,RPT01
10,N_DP_D1P003F_0h,RPT_20210419,RPT01
11,N_DP_D1P009F_HHC01_HC_0h,RPT_20210419,RPT01
12,N_DP_D1P020F_HHC01_HC_0h,RPT_20210419,RPT01
13,N_DP_D1P029F_HHC01_HC_0h,RPT_20210419,RPT01
14,N_DP_D1P019F_HHC01_HC_0h,RPT_20210419,RPT01
15,N_DP_D1P003F_HHC01_HC_0h,RPT_20210419,RPT01
16,N_C_D1C012F_18h,RPT_20210419,RPT01
17,N_C_D1C009F_18h,RPT_20210419,RPT01
18,N_C_D1C011F_18h,RPT_20210419,RPT01
19,N_C_D1C004F_18h,RPT_20210419,RPT01
20,N_C_D1C001F_18h,RPT_20210419,RPT01
21,N_DP_D1P009F_18h,RPT_20210419,RPT01
22,N_DP_D1P020F_18h,RPT_20210419,RPT01
23,N_DP_D1P029F_18h,RPT_20210419,RPT01
24,N_DP_D1P019F_18h,RPT_20210419,RPT01
25,N_DP_D1P003F_18h,RPT_20210419,RPT01
26,N_DP_D1P009F_HHC01_HC_18h,RPT_20210419,RPT01
27,N_DP_D1P020F_HHC01_HC_18h,RPT_20210419,RPT01
28,N_DP_D1P029F_HHC01_HC_18h,RPT_20210419,RPT01
29,N_DP_D1P019F_HHC01_HC_18h,RPT_20210419,RPT01
30,N_DP_D1P003F_HHC01_HC_18h,RPT_20210419,RPT01
31,N_C_D1C012F_24h,RPT_20210419,RPT01
32,N_C_D1C009F_24h,RPT_20210419,RPT01
33,N_C_D1C011F_24h,RPT_20210419,RPT01
34,N_C_D1C004F_24h,RPT_20210419,RPT01
35,N_C_D1C001F_24h,RPT_20210419,RPT01
36,N_DP_D1P009F_24h,RPT_20210419,RPT01
37,N_DP_D1P020F_24h,RPT_20210419,RPT01
38,N_DP_D1P029F_24h,RPT_20210419,RPT01
39,N_DP_D1P019F_24h,RPT_20210419,RPT01
40,N_DP_D1P003F_24h,RPT_20210419,RPT01
41,N_C_D1C012F_36h,RPT_20210419,RPT01
42,N_C_D1C009F_36h,RPT_20210419,RPT01
43,N_C_D1C011F_36h,RPT_20210419,RPT01
44,N_C_D1C004F_36h,RPT_20210419,RPT01
45,N_C_D1C001F_36h,RPT_20210419,RPT01
46,N_DP_D1P009F_36h,RPT_20210419,RPT01
47,N_DP_D1P020F_36h,RPT_20210419,RPT01
48,N_DP_D1P029F_36h,RPT_20210419,RPT01
49,N_DP_D1P019F_36h,RPT_20210419,RPT01
50,N_DP_D1P003F_36h,RPT_20210419,RPT01
51,N_DP_D1P009F_HHC01_HC_36h,RPT_20210419,RPT01
52,N_DP_D1P020F_HHC01_HC_36h,RPT_20210419,RPT01
53,N_DP_D1P029F_HHC01_HC_36h,RPT_20210419,RPT01
54,N_DP_D1P019F_HHC01_HC_36h,RPT_20210419,RPT01
55,N_DP_D1P003F_HHC01_HC_36h,RPT_20210419,RPT01
56,L12_C_D1C012F_0h,RPT_20210419,RPT01
57,L12_C_D1C009F_0h,RPT_20210419,RPT01
58,L12_C_D1C011F_0h,RPT_20210419,RPT01
59,L12_C_D1C004F_0h,RPT_20210419,RPT01
60,L12_C_D1C001F_0h,RPT_20210419,RPT01
61,L12_DP_D1P009F_0h,RPT_20210419,RPT01
62,L12_DP_D1P020F_0h,RPT_20210419,RPT01
63,L12_DP_D1P029F_0h,RPT_20210419,RPT01
64,L12_DP_D1P019F_0h,RPT_20210419,RPT01
65,L12_DP_D1P003F_0h,RPT_20210419,RPT01
