#1,SampleID,Project,Drug_project
1,19301-A,ONC-2020-051,GV009
2,19302-A,ONC-2020-051,GV009
3,19303-A,ONC-2020-051,GV009
4,19304-A,ONC-2020-051,GV009
5,19305-A,ONC-2020-051,GV009
6,19306-A,ONC-2020-051,GV009
7,19307-A,ONC-2020-051,GV009
8,19308-A,ONC-2020-051,GV009
9,19309-A,ONC-2020-051,GV009
10,19310-A,ONC-2020-051,GV009
11,19311-A,ONC-2020-051,GV009
12,19312-A,ONC-2020-051,GV009
13,19313-A,ONC-2020-051,GV009
14,19314-A,ONC-2020-051,GV009
15,19315-A,ONC-2020-051,GV009
16,19316-A,ONC-2020-051,GV009
17,19376-A,ONC-2020-051,GV009
18,19318-A,ONC-2020-051,GV009
19,19379-A,ONC-2020-051,GV009
20,19320-A,ONC-2020-051,GV009
21,19321-A,ONC-2020-051,GV009
22,19322-A,ONC-2020-051,GV009
23,19323-A,ONC-2020-051,GV009
24,19324-A,ONC-2020-051,GV009
25,19325-A,ONC-2020-051,GV009
26,19326-A,ONC-2020-051,GV009
27,19327-A,ONC-2020-051,GV009
28,19378-A,ONC-2020-051,GV009
29,19329-A,ONC-2020-051,GV009
30,19330-A,ONC-2020-051,GV009
31,19331-A,ONC-2020-051,GV009
32,19332-A,ONC-2020-051,GV009
33,19333-A,ONC-2020-051,GV009
34,19334-A,ONC-2020-051,GV009
35,19335-A,ONC-2020-051,GV009
36,19336-A,ONC-2020-051,GV009
37,19337-A,ONC-2020-051,GV009
38,19338-A,ONC-2020-051,GV009
39,19339-A,ONC-2020-051,GV009
40,19340-A,ONC-2020-051,GV009
41,19341-A,ONC-2020-051,GV009
42,19342-A,ONC-2020-051,GV009
43,19343-A,ONC-2020-051,GV009
44,19344-A,ONC-2020-051,GV009
45,19345-A,ONC-2020-051,GV009
46,19346-A,ONC-2020-051,GV009
47,19347-A,ONC-2020-051,GV009
48,19348-A,ONC-2020-051,GV009
49,19349-A,ONC-2020-051,GV009
50,19350-A,ONC-2020-051,GV009
51,19351-A,ONC-2020-051,GV009
52,19352-A,ONC-2020-051,GV009
53,19353-A,ONC-2020-051,GV009
54,19380-A,ONC-2020-051,GV009
55,19355-A,ONC-2020-051,GV009
56,19356-A,ONC-2020-051,GV009
57,19357-A,ONC-2020-051,GV009
58,19358-A,ONC-2020-051,GV009
59,19359-A,ONC-2020-051,GV009
60,19360-A,ONC-2020-051,GV009
61,19361-A,ONC-2020-051,GV009
62,19362-A,ONC-2020-051,GV009
63,19363-A,ONC-2020-051,GV009
64,19364-A,ONC-2020-051,GV009
65,19365-A,ONC-2020-051,GV009
66,19366-A,ONC-2020-051,GV009
67,19367-A,ONC-2020-051,GV009
68,19368-A,ONC-2020-051,GV009
69,19369-A,ONC-2020-051,GV009
70,19370-A,ONC-2020-051,GV009
71,19371-A,ONC-2020-051,GV009
72,19372-A,ONC-2020-051,GV009
73,19373-A,ONC-2020-051,GV009
74,19374-A,ONC-2020-051,GV009
75,19375-A,ONC-2020-051,GV009
76,19301-B,ONC-2020-051,GV009
77,19302-B,ONC-2020-051,GV009
78,19303-B,ONC-2020-051,GV009
79,19304-B,ONC-2020-051,GV009
80,19305-B,ONC-2020-051,GV009
81,19306-B,ONC-2020-051,GV009
82,19307-B,ONC-2020-051,GV009
83,19308-B,ONC-2020-051,GV009
84,19309-B,ONC-2020-051,GV009
85,19310-B,ONC-2020-051,GV009
86,19311-B,ONC-2020-051,GV009
87,19312-B,ONC-2020-051,GV009
88,19313-B,ONC-2020-051,GV009
89,19314-B,ONC-2020-051,GV009
90,19315-B,ONC-2020-051,GV009
91,19316-B,ONC-2020-051,GV009
92,19376-B,ONC-2020-051,GV009
93,19318-B,ONC-2020-051,GV009
94,19379-B,ONC-2020-051,GV009
95,19320-B,ONC-2020-051,GV009
96,19321-B,ONC-2020-051,GV009
97,19322-B,ONC-2020-051,GV009
98,19323-B,ONC-2020-051,GV009
99,19324-B,ONC-2020-051,GV009
100,19325-B,ONC-2020-051,GV009
101,19326-B,ONC-2020-051,GV009
102,19327-B,ONC-2020-051,GV009
103,19378-B,ONC-2020-051,GV009
104,19329-B,ONC-2020-051,GV009
105,19330-B,ONC-2020-051,GV009
106,19331-B,ONC-2020-051,GV009
107,19332-B,ONC-2020-051,GV009
108,19333-B,ONC-2020-051,GV009
109,19334-B,ONC-2020-051,GV009
110,19335-B,ONC-2020-051,GV009
111,19336-B,ONC-2020-051,GV009
112,19337-B,ONC-2020-051,GV009
113,19338-B,ONC-2020-051,GV009
114,19339-B,ONC-2020-051,GV009
115,19340-B,ONC-2020-051,GV009
116,19341-B,ONC-2020-051,GV009
117,19342-B,ONC-2020-051,GV009
118,19343-B,ONC-2020-051,GV009
119,19344-B,ONC-2020-051,GV009
120,19345-B,ONC-2020-051,GV009
121,19346-B,ONC-2020-051,GV009
122,19347-B,ONC-2020-051,GV009
123,19348-B,ONC-2020-051,GV009
124,19349-B,ONC-2020-051,GV009
125,19350-B,ONC-2020-051,GV009
126,19351-B,ONC-2020-051,GV009
127,19352-B,ONC-2020-051,GV009
128,19353-B,ONC-2020-051,GV009
129,19380-B,ONC-2020-051,GV009
130,19355-B,ONC-2020-051,GV009
131,19356-B,ONC-2020-051,GV009
132,19357-B,ONC-2020-051,GV009
133,19358-B,ONC-2020-051,GV009
134,19367-B,ONC-2020-051,GV009
135,19359-B,ONC-2020-051,GV009
136,19360-B,ONC-2020-051,GV009
137,19361-B,ONC-2020-051,GV009
138,19362-B,ONC-2020-051,GV009
139,19364-B,ONC-2020-051,GV009
140,19365-B,ONC-2020-051,GV009
141,19366-B,ONC-2020-051,GV009
142,19363-B,ONC-2020-051,GV009
