#1,SampleID,Project,Drug_project
1,20094_A,ONC-2021-002,GV009
2,20095_A,ONC-2021-002,GV009
3,20046_C,ONC-2021-002,GV009
4,20047_C,ONC-2021-002,GV009
5,20048_C,ONC-2021-002,GV009
6,20049_C,ONC-2021-002,GV009
7,20050_C,ONC-2021-002,GV009
8,20051_C,ONC-2021-002,GV009
9,20052_C,ONC-2021-002,GV009
10,20053_C,ONC-2021-002,GV009
11,20054_C,ONC-2021-002,GV009
12,20055_C,ONC-2021-002,GV009
13,20056_C,ONC-2021-002,GV009
14,20057_C,ONC-2021-002,GV009
15,20058_C,ONC-2021-002,GV009
16,20059_C,ONC-2021-002,GV009
17,20060_C,ONC-2021-002,GV009
18,20061_C,ONC-2021-002,GV009
19,20062_C,ONC-2021-002,GV009
20,20063_C,ONC-2021-002,GV009
21,20064_C,ONC-2021-002,GV009
22,20065_C,ONC-2021-002,GV009
23,20066_C,ONC-2021-002,GV009
24,20067_C,ONC-2021-002,GV009
25,20068_C,ONC-2021-002,GV009
26,20069_C,ONC-2021-002,GV009
27,20070_C,ONC-2021-002,GV009
28,20071_C,ONC-2021-002,GV009
29,20072_C,ONC-2021-002,GV009
30,20073_C,ONC-2021-002,GV009
31,20074_C,ONC-2021-002,GV009
32,20075_C,ONC-2021-002,GV009
33,20076_C,ONC-2021-002,GV009
34,20077_C,ONC-2021-002,GV009
35,20078_C,ONC-2021-002,GV009
36,20079_C,ONC-2021-002,GV009
37,20080_C,ONC-2021-002,GV009
38,20081_C,ONC-2021-002,GV009
39,20082_C,ONC-2021-002,GV009
40,20083_C,ONC-2021-002,GV009
41,20084_C,ONC-2021-002,GV009
42,20085_C,ONC-2021-002,GV009
43,20086_C,ONC-2021-002,GV009
44,20087_C,ONC-2021-002,GV009
45,20088_C,ONC-2021-002,GV009
46,20089_C,ONC-2021-002,GV009
47,20090_C,ONC-2021-002,GV009
48,20091_C,ONC-2021-002,GV009
49,20092_C,ONC-2021-002,GV009
50,20093_C,ONC-2021-002,GV009
51,20094_C,ONC-2021-002,GV009
52,20095_C,ONC-2021-002,GV009
53,20046_B,ONC-2021-002,GV009
54,20047_B,ONC-2021-002,GV009
55,20048_B,ONC-2021-002,GV009
56,20049_B,ONC-2021-002,GV009
57,20050_B,ONC-2021-002,GV009
58,20051_B,ONC-2021-002,GV009
59,20052_B,ONC-2021-002,GV009
60,20053_B,ONC-2021-002,GV009
61,20054_B,ONC-2021-002,GV009
62,20055_B,ONC-2021-002,GV009
63,20056_B,ONC-2021-002,GV009
64,20057_B,ONC-2021-002,GV009
65,20058_B,ONC-2021-002,GV009
66,20059_B,ONC-2021-002,GV009
67,20060_B,ONC-2021-002,GV009
68,20061_B,ONC-2021-002,GV009
69,20062_B,ONC-2021-002,GV009
70,20063_B,ONC-2021-002,GV009
71,20064_B,ONC-2021-002,GV009
72,20065_B,ONC-2021-002,GV009
73,20066_B,ONC-2021-002,GV009
74,20067_B,ONC-2021-002,GV009
75,20068_B,ONC-2021-002,GV009
76,20069_B,ONC-2021-002,GV009
77,20070_B,ONC-2021-002,GV009
78,20071_B,ONC-2021-002,GV009
79,20072_B,ONC-2021-002,GV009
80,20073_B,ONC-2021-002,GV009
81,20074_B,ONC-2021-002,GV009
82,20075_B,ONC-2021-002,GV009
83,20076_B,ONC-2021-002,GV009
84,20077_B,ONC-2021-002,GV009
85,20078_B,ONC-2021-002,GV009
86,20079_B,ONC-2021-002,GV009
87,20080_B,ONC-2021-002,GV009
88,20081_B,ONC-2021-002,GV009
89,20082_B,ONC-2021-002,GV009
90,20083_B,ONC-2021-002,GV009
91,20084_B,ONC-2021-002,GV009
92,20085_B,ONC-2021-002,GV009
93,20086_B,ONC-2021-002,GV009
94,20087_B,ONC-2021-002,GV009
95,20088_B,ONC-2021-002,GV009
96,20089_B,ONC-2021-002,GV009
97,D1P014F-1,HG16S013,Jingwei
98,D1P012F-1,HG16S013,Jingwei
99,D1P004F-2,HG16S013,Jingwei
100,D1P008F-2,HG16S013,Jingwei
101,BJTT-2020-004,HG16S013,BeiJingtiantanyiyuan
102,BJTT-2020-007,HG16S013,BeiJingtiantanyiyuan
103,BJTT-2020-008,HG16S013,BeiJingtiantanyiyuan
104,BJTT-2020-010,HG16S013,BeiJingtiantanyiyuan
105,BJTT-2020-024,HG16S013,BeiJingtiantanyiyuan
106,BJTT-2020-026,HG16S013,BeiJingtiantanyiyuan
107,BJTT-2020-027,HG16S013,BeiJingtiantanyiyuan
108,BJTT-2020-031,HG16S013,BeiJingtiantanyiyuan
109,BJTT-2020-033,HG16S013,BeiJingtiantanyiyuan
110,BJTT-2020-051,HG16S013,BeiJingtiantanyiyuan
111,BJTT-2020-053,HG16S013,BeiJingtiantanyiyuan
112,BJTT-2020-055,HG16S013,BeiJingtiantanyiyuan
113,BJTT-2020-058,HG16S013,BeiJingtiantanyiyuan
