#1,SampleID,Project,Drug_project
1,E4666_A,ONC-2020-063,GV009
2,E4667_A,ONC-2020-063,GV009
3,E4668_A,ONC-2020-063,GV009
4,E4669_A,ONC-2020-063,GV009
5,E4670_A,ONC-2020-063,GV009
6,E4626_A,ONC-2020-063,GV009
7,E4630_A,ONC-2020-063,GV009
8,E4621_A,ONC-2020-063,GV009
9,E4622_A,ONC-2020-063,GV009
10,E4623_A,ONC-2020-063,GV009
11,E4624_A,ONC-2020-063,GV009
12,E4625_A,ONC-2020-063,GV009
13,E4629_A,ONC-2020-063,GV009
14,E4646_A,ONC-2020-063,GV009
15,E4647_A,ONC-2020-063,GV009
16,E4648_A,ONC-2020-063,GV009
17,E4649_A,ONC-2020-063,GV009
18,E4650_A,ONC-2020-063,GV009
19,E4627_A,ONC-2020-063,GV009
20,E4628_A,ONC-2020-063,GV009
21,E4681_A,ONC-2020-063,GV009
22,E4687_A,ONC-2020-063,GV009
23,E4688_A,ONC-2020-063,GV009
24,E4631_A,ONC-2020-063,GV009
25,E4632_A,ONC-2020-063,GV009
26,E4633_A,ONC-2020-063,GV009
27,E4634_A,ONC-2020-063,GV009
28,E4635_A,ONC-2020-063,GV009
29,E4611_A,ONC-2020-063,GV009
30,E4612_A,ONC-2020-063,GV009
31,E4613_A,ONC-2020-063,GV009
32,E4614_A,ONC-2020-063,GV009
33,E4615_A,ONC-2020-063,GV009
34,E4606_A,ONC-2020-063,GV009
35,E4607_A,ONC-2020-063,GV009
36,E4608_A,ONC-2020-063,GV009
37,E4609_A,ONC-2020-063,GV009
38,E4610_A,ONC-2020-063,GV009
39,E4676_A,ONC-2020-063,GV009
40,E4677_A,ONC-2020-063,GV009
41,E4678_A,ONC-2020-063,GV009
42,E4679_A,ONC-2020-063,GV009
43,E4680_A,ONC-2020-063,GV009
44,E4671_A,ONC-2020-063,GV009
45,E4672_A,ONC-2020-063,GV009
46,E4673_A,ONC-2020-063,GV009
47,E4674_A,ONC-2020-063,GV009
48,E4675_A,ONC-2020-063,GV009
49,E4636_A,ONC-2020-063,GV009
50,E4637_A,ONC-2020-063,GV009
51,E4638_A,ONC-2020-063,GV009
52,E4639_A,ONC-2020-063,GV009
53,E4640_A,ONC-2020-063,GV009
54,E4641_A,ONC-2020-063,GV009
55,E4642_A,ONC-2020-063,GV009
56,E4643_A,ONC-2020-063,GV009
57,E4644_A,ONC-2020-063,GV009
58,E4645_A,ONC-2020-063,GV009
59,E4682_A,ONC-2020-063,GV009
60,E4683_A,ONC-2020-063,GV009
61,E4684_A,ONC-2020-063,GV009
62,E4685_A,ONC-2020-063,GV009
63,E4686_A,ONC-2020-063,GV009
64,E4601_A,ONC-2020-063,GV009
65,E4602_A,ONC-2020-063,GV009
66,E4603_A,ONC-2020-063,GV009
67,E4604_A,ONC-2020-063,GV009
68,E4605_A,ONC-2020-063,GV009
69,E4616_A,ONC-2020-063,GV009
70,E4617_A,ONC-2020-063,GV009
71,E4618_A,ONC-2020-063,GV009
72,E4619_A,ONC-2020-063,GV009
73,E4620_A,ONC-2020-063,GV009
74,E4666_B,ONC-2020-063,GV009
75,E4667_B,ONC-2020-063,GV009
76,E4668_B,ONC-2020-063,GV009
77,E4669_B,ONC-2020-063,GV009
78,E4670_B,ONC-2020-063,GV009
79,E4626_B,ONC-2020-063,GV009
80,E4630_B,ONC-2020-063,GV009
81,E4621_B,ONC-2020-063,GV009
82,E4622_B,ONC-2020-063,GV009
83,E4623_B,ONC-2020-063,GV009
84,E4625_B,ONC-2020-063,GV009
85,E4646_B,ONC-2020-063,GV009
86,E4647_B,ONC-2020-063,GV009
87,E4648_B,ONC-2020-063,GV009
88,E4649_B,ONC-2020-063,GV009
89,E4650_B,ONC-2020-063,GV009
90,E4627_B,ONC-2020-063,GV009
91,E4628_B,ONC-2020-063,GV009
92,E4681_B,ONC-2020-063,GV009
93,E4687_B,ONC-2020-063,GV009
94,E4688_B,ONC-2020-063,GV009
95,E4631_B,ONC-2020-063,GV009
96,E4632_B,ONC-2020-063,GV009
97,E4633_B,ONC-2020-063,GV009
98,E4634_B,ONC-2020-063,GV009
99,E4635_B,ONC-2020-063,GV009
100,E4611_B,ONC-2020-063,GV009
101,E4612_B,ONC-2020-063,GV009
102,E4613_B,ONC-2020-063,GV009
103,E4614_B,ONC-2020-063,GV009
104,E4615_B,ONC-2020-063,GV009
105,E4606_B,ONC-2020-063,GV009
106,E4607_B,ONC-2020-063,GV009
107,E4608_B,ONC-2020-063,GV009
108,E4609_B,ONC-2020-063,GV009
109,E4610_B,ONC-2020-063,GV009
110,E4676_B,ONC-2020-063,GV009
111,E4677_B,ONC-2020-063,GV009
112,E4678_B,ONC-2020-063,GV009
113,E4679_B,ONC-2020-063,GV009
114,E4680_B,ONC-2020-063,GV009
115,E4671_B,ONC-2020-063,GV009
116,E4672_B,ONC-2020-063,GV009
117,E4673_B,ONC-2020-063,GV009
118,E4674_B,ONC-2020-063,GV009
119,E4675_B,ONC-2020-063,GV009
120,E4636_B,ONC-2020-063,GV009
121,E4637_B,ONC-2020-063,GV009
122,E4638_B,ONC-2020-063,GV009
123,E4639_B,ONC-2020-063,GV009
124,E4640_B,ONC-2020-063,GV009
125,E4642_B,ONC-2020-063,GV009
126,E4643_B,ONC-2020-063,GV009
127,E4644_B,ONC-2020-063,GV009
128,E4645_B,ONC-2020-063,GV009
129,E4682_B,ONC-2020-063,GV009
130,E4683_B,ONC-2020-063,GV009
131,E4684_B,ONC-2020-063,GV009
132,E4685_B,ONC-2020-063,GV009
133,E4686_B,ONC-2020-063,GV009
134,E4601_B,ONC-2020-063,GV009
135,E4602_B,ONC-2020-063,GV009
136,E4603_B,ONC-2020-063,GV009
137,E4604_B,ONC-2020-063,GV009
138,E4605_B,ONC-2020-063,GV009
139,E4616_B,ONC-2020-063,GV009
140,E4617_B,ONC-2020-063,GV009
141,E4618_B,ONC-2020-063,GV009
142,E4619_B,ONC-2020-063,GV009
143,E4620_B,ONC-2020-063,GV009
144,SHJW-2020-025,HG16S010,Jingwei-AD
145,SHJW-2020-030,HG16S010,Jingwei-AD
146,SHJW-2020-046,HG16S010,Jingwei-AD
147,SHJW-2020-048,HG16S010,Jingwei-AD
148,SHJW-2020-052,HG16S010,Jingwei-AD
149,SHJW-2020-054,HG16S010,Jingwei-AD
150,SHJW-2020-055,HG16S010,Jingwei-AD
151,SHJW-2020-056,HG16S010,Jingwei-AD
152,SHJW-2020-057,HG16S010,Jingwei-AD
153,SHJW-2020-059,HG16S010,Jingwei-AD
154,SHJW-2020-063,HG16S010,Jingwei-AD
155,SHJW-2020-065,HG16S010,Jingwei-AD
156,SHJW-2020-066,HG16S010,Jingwei-AD
157,SHJW-2020-068,HG16S010,Jingwei-AD
158,SHJW-2020-070,HG16S010,Jingwei-AD
159,SHJW-2020-071,HG16S010,Jingwei-AD
160,SHJW-2020-072,HG16S010,Jingwei-AD
161,SHJW-2020-073,HG16S010,Jingwei-AD
