#1,SampleID,Project,Drug_project
1,18932_A,ONC-2020-048,GV009
2,18946_A,ONC-2020-048,GV009
3,18973_A,ONC-2020-048,GV009
4,18984_A,ONC-2020-048,GV009
5,18996_A,ONC-2020-048,GV009
6,19017_A,ONC-2020-048,GV009
7,19037_A,ONC-2020-048,GV009
8,18929_A,ONC-2020-048,GV009
9,18935_A,ONC-2020-048,GV009
10,18952_A,ONC-2020-048,GV009
11,18954_A,ONC-2020-048,GV009
12,19010_A,ONC-2020-048,GV009
13,19013_A,ONC-2020-048,GV009
14,19019_A,ONC-2020-048,GV009
15,18932_B,ONC-2020-048,GV009
16,18946_B,ONC-2020-048,GV009
17,18973_B,ONC-2020-048,GV009
18,18984_B,ONC-2020-048,GV009
19,18996_B,ONC-2020-048,GV009
20,19017_B,ONC-2020-048,GV009
21,19037_B,ONC-2020-048,GV009
22,18929_B,ONC-2020-048,GV009
23,18935_B,ONC-2020-048,GV009
24,18952_B,ONC-2020-048,GV009
25,18954_B,ONC-2020-048,GV009
26,19010_B,ONC-2020-048,GV009
27,19013_B,ONC-2020-048,GV009
28,19019_B,ONC-2020-048,GV009
29,18932_C,ONC-2020-048,GV009
30,18946_C,ONC-2020-048,GV009
31,18973_C,ONC-2020-048,GV009
32,18984_C,ONC-2020-048,GV009
33,18996_C,ONC-2020-048,GV009
34,19017_C,ONC-2020-048,GV009
35,19037_C,ONC-2020-048,GV009
36,18929_C,ONC-2020-048,GV009
37,18935_C,ONC-2020-048,GV009
38,18952_C,ONC-2020-048,GV009
39,18954_C,ONC-2020-048,GV009
40,19010_C,ONC-2020-048,GV009
41,19013_C,ONC-2020-048,GV009
42,19019_C,ONC-2020-048,GV009
43,19138_A,ONC-2020-047,GV009
44,19111_A,ONC-2020-047,GV009
45,19117_A,ONC-2020-047,GV009
46,19120_A,ONC-2020-047,GV009
47,19123_A,ONC-2020-047,GV009
48,19130_A,ONC-2020-047,GV009
49,19134_A,ONC-2020-047,GV009
50,19153_A,ONC-2020-047,GV009
51,19166_A,ONC-2020-047,GV009
52,19167_A,ONC-2020-047,GV009
53,19178_A,ONC-2020-047,GV009
54,19074_A,ONC-2020-047,GV009
55,19201_A,ONC-2020-047,GV009
56,19071_A,ONC-2020-047,GV009
57,19095_A,ONC-2020-047,GV009
58,19125_A,ONC-2020-047,GV009
59,19145_A,ONC-2020-047,GV009
60,19158_A,ONC-2020-047,GV009
61,19163_A,ONC-2020-047,GV009
62,19164_A,ONC-2020-047,GV009
63,19170_A,ONC-2020-047,GV009
64,19182_A,ONC-2020-047,GV009
65,19188_A,ONC-2020-047,GV009
66,19194_A,ONC-2020-047,GV009
67,19138_B,ONC-2020-047,GV009
68,19111_B,ONC-2020-047,GV009
69,19117_B,ONC-2020-047,GV009
70,19120_B,ONC-2020-047,GV009
71,19123_B,ONC-2020-047,GV009
72,19130_B,ONC-2020-047,GV009
73,19134_B,ONC-2020-047,GV009
74,19153_B,ONC-2020-047,GV009
75,19166_B,ONC-2020-047,GV009
76,19167_B,ONC-2020-047,GV009
77,19178_B,ONC-2020-047,GV009
78,19074_B,ONC-2020-047,GV009
79,19201_B,ONC-2020-047,GV009
80,19071_B,ONC-2020-047,GV009
81,19095_B,ONC-2020-047,GV009
82,19125_B,ONC-2020-047,GV009
83,19145_B,ONC-2020-047,GV009
84,19158_B,ONC-2020-047,GV009
85,19163_B,ONC-2020-047,GV009
86,19164_B,ONC-2020-047,GV009
87,19170_B,ONC-2020-047,GV009
88,19182_B,ONC-2020-047,GV009
89,19188_B,ONC-2020-047,GV009
90,19194_B,ONC-2020-047,GV009
91,19138_C,ONC-2020-047,GV009
92,19111_C,ONC-2020-047,GV009
93,19117_C,ONC-2020-047,GV009
94,19120_C,ONC-2020-047,GV009
95,19123_C,ONC-2020-047,GV009
96,19130_C,ONC-2020-047,GV009
97,19134_C,ONC-2020-047,GV009
98,19153_C,ONC-2020-047,GV009
99,19166_C,ONC-2020-047,GV009
100,19167_C,ONC-2020-047,GV009
101,19178_C,ONC-2020-047,GV009
102,19074_C,ONC-2020-047,GV009
103,19201_C,ONC-2020-047,GV009
104,19071_C,ONC-2020-047,GV009
105,19188_C,ONC-2020-047,GV009
106,19095_C,ONC-2020-047,GV009
107,19125_C,ONC-2020-047,GV009
108,19145_C,ONC-2020-047,GV009
109,19158_C,ONC-2020-047,GV009
110,19163_C,ONC-2020-047,GV009
111,19164_C,ONC-2020-047,GV009
112,19170_C,ONC-2020-047,GV009
113,19182_C,ONC-2020-047,GV009
114,19194_C,ONC-2020-047,GV009
115,E4146,ONC-2020-056,GV009
116,E4147,ONC-2020-056,GV009
117,E4148,ONC-2020-056,GV009
118,E4149,ONC-2020-056,GV009
119,E4150,ONC-2020-056,GV009
120,E4111,ONC-2020-056,GV009
121,E4112,ONC-2020-056,GV009
122,E4113,ONC-2020-056,GV009
123,E4114,ONC-2020-056,GV009
124,E4115,ONC-2020-056,GV009
125,E4091,ONC-2020-056,GV009
126,E4092,ONC-2020-056,GV009
127,E4093,ONC-2020-056,GV009
128,E4094,ONC-2020-056,GV009
129,E4095,ONC-2020-056,GV009
130,E4084,ONC-2020-056,GV009
131,E4176,ONC-2020-056,GV009
132,E4177,ONC-2020-056,GV009
133,E4178,ONC-2020-056,GV009
134,E4179,ONC-2020-056,GV009
135,E4180,ONC-2020-056,GV009
136,E4181,ONC-2020-056,GV009
137,E4101,ONC-2020-056,GV009
138,E4102,ONC-2020-056,GV009
139,E4103,ONC-2020-056,GV009
140,E4104,ONC-2020-056,GV009
141,E4105,ONC-2020-056,GV009
142,E4136,ONC-2020-056,GV009
143,E4137,ONC-2020-056,GV009
144,E4138,ONC-2020-056,GV009
145,E4139,ONC-2020-056,GV009
146,E4140,ONC-2020-056,GV009
147,E4171,ONC-2020-056,GV009
148,E4172,ONC-2020-056,GV009
149,E4173,ONC-2020-056,GV009
150,E4174,ONC-2020-056,GV009
151,E4175,ONC-2020-056,GV009
152,SH201905-382,HG16S004,
153,SH201905-441,HG16S004,
154,SH201905-477,HG16S004,
155,SH201905-489,HG16S004,
156,SH201905-492,HG16S004,
157,SH201905-496,HG16S004,
158,SH201905-500,HG16S004,
159,SH201905-504,HG16S004,
160,SH201905-505,HG16S004,
161,SH201905-506,HG16S004,
162,SH201905-507,HG16S004,
163,SH201905-526,HG16S004,
164,SH201905-528,HG16S004,
165,SH201905-536,HG16S004,
166,SH201905-547,HG16S004,
167,SH201905-549,HG16S004,
168,AD-GV-F-001,HG16S003,
169,AD-GV-F-002,HG16S003,
170,AD-GV-F-003,HG16S003,
171,AD-GV-F-004,HG16S003,
172,AD-GV-F-005,HG16S003,
173,AD-GV-F-006,HG16S003,
174,AD-GV-F-007,HG16S003,
175,AD-GV-F-008,HG16S003,
176,AD-GV-F-009,HG16S003,
177,AD-GV-F-010,HG16S003,
178,AD-GV-F-011,HG16S003,
179,AD-GV-F-012,HG16S003,
180,AD-GV-F-013,HG16S003,
181,AD-GV-F-014,HG16S003,
182,AD-GV-F-015,HG16S003,
183,AD-GV-F-016,HG16S003,
184,AD-GV-F-017,HG16S003,
185,AD-GV-F-018,HG16S003,
186,AD-GV-F-019,HG16S003,
187,AD-GV-F-020,HG16S003,
188,AD-GV-F-021,HG16S003,
189,AD-GV-F-022,HG16S003,
190,AD-GV-F-023,HG16S003,
191,AD-GV-F-024,HG16S003,
192,AD-GV-F-025,HG16S003,
193,AD-GV-F-026,HG16S003,
194,AD-GV-F-027,HG16S003,
195,AD-GV-F-028,HG16S003,
196,AD-GV-F-029,HG16S003,
197,AD-GV-F-030,HG16S003,
198,AD-GV-F-031,HG16S003,
199,AD-GV-F-032,HG16S003,
200,AD-GV-F-033,HG16S003,
201,AD-GV-F-034,HG16S003,
202,AD-GV-F-035,HG16S003,
203,AD-GV-F-036,HG16S003,
204,AD-GV-F-037,HG16S003,
205,AD-GV-F-038,HG16S003,
206,AD-GV-F-039,HG16S003,
207,AD-GV-F-040,HG16S003,
208,AD-GV-F-041,HG16S003,
209,AD-GV-F-042,HG16S003,
210,AD-GV-F-043,HG16S003,
211,AD-GV-F-044,HG16S003,
212,AD-GV-F-045,HG16S003,
213,AD-GV-F-046,HG16S003,
214,AD-GV-F-047,HG16S003,
215,AD-GV-F-048,HG16S003,
216,AD-GV-F-049,HG16S003,
217,AD-GV-F-050,HG16S003,
218,AD-GV-F-051,HG16S003,
219,AD-GV-F-052,HG16S003,
220,AD-GV-F-053,HG16S003,
221,AD-GV-F-054,HG16S003,
222,AD-GV-F-055,HG16S003,
223,AD-GV-F-056,HG16S003,
224,AD-GV-F-057,HG16S003,
225,AD-GV-F-058,HG16S003,
226,AD-GV-F-059,HG16S003,
227,AD-GV-F-060,HG16S003,
