#1,SampleID,Project,Drug_project
1,19381_A,ONC-2020-052,GV009
2,19382_A,ONC-2020-052,GV009
3,19383_A,ONC-2020-052,GV009
4,19384_A,ONC-2020-052,GV009
5,19385_A,ONC-2020-052,GV009
6,19386_A,ONC-2020-052,GV009
7,19387_A,ONC-2020-052,GV009
8,19388_A,ONC-2020-052,GV009
9,19389_A,ONC-2020-052,GV009
10,19390_A,ONC-2020-052,GV009
11,19391_A,ONC-2020-052,GV009
12,19392_A,ONC-2020-052,GV009
13,19393_A,ONC-2020-052,GV009
14,19394_A,ONC-2020-052,GV009
15,19395_A,ONC-2020-052,GV009
16,19396_A,ONC-2020-052,GV009
17,19397_A,ONC-2020-052,GV009
18,19398_A,ONC-2020-052,GV009
19,19399_A,ONC-2020-052,GV009
20,19400_A,ONC-2020-052,GV009
21,19206_A,ONC-2020-052,GV009
22,19268_A,ONC-2020-052,GV009
23,19208_A,ONC-2020-052,GV009
24,19209_A,ONC-2020-052,GV009
25,19210_A,ONC-2020-052,GV009
26,19211_A,ONC-2020-052,GV009
27,19212_A,ONC-2020-052,GV009
28,19213_A,ONC-2020-052,GV009
29,19214_A,ONC-2020-052,GV009
30,19215_A,ONC-2020-052,GV009
31,19216_A,ONC-2020-052,GV009
32,19217_A,ONC-2020-052,GV009
33,19218_A,ONC-2020-052,GV009
34,19219_A,ONC-2020-052,GV009
35,19220_A,ONC-2020-052,GV009
36,19221_A,ONC-2020-052,GV009
37,19222_A,ONC-2020-052,GV009
38,19223_A,ONC-2020-052,GV009
39,19224_A,ONC-2020-052,GV009
40,19225_A,ONC-2020-052,GV009
41,19226_A,ONC-2020-052,GV009
42,19377_A,ONC-2020-052,GV009
43,19228_A,ONC-2020-052,GV009
44,19229_A,ONC-2020-052,GV009
45,19230_A,ONC-2020-052,GV009
46,19231_A,ONC-2020-052,GV009
47,19232_A,ONC-2020-052,GV009
48,19233_A,ONC-2020-052,GV009
49,19234_A,ONC-2020-052,GV009
50,19235_A,ONC-2020-052,GV009
51,19236_A,ONC-2020-052,GV009
52,19237_A,ONC-2020-052,GV009
53,19238_A,ONC-2020-052,GV009
54,19239_A,ONC-2020-052,GV009
55,19240_A,ONC-2020-052,GV009
56,19241_A,ONC-2020-052,GV009
57,19242_A,ONC-2020-052,GV009
58,19243_A,ONC-2020-052,GV009
59,19266_A,ONC-2020-052,GV009
60,19245_A,ONC-2020-052,GV009
61,19246_A,ONC-2020-052,GV009
62,19247_A,ONC-2020-052,GV009
63,19248_A,ONC-2020-052,GV009
64,19249_A,ONC-2020-052,GV009
65,19270_A,ONC-2020-052,GV009
66,19251_A,ONC-2020-052,GV009
67,19252_A,ONC-2020-052,GV009
68,19253_A,ONC-2020-052,GV009
69,19254_A,ONC-2020-052,GV009
70,19255_A,ONC-2020-052,GV009
71,19256_A,ONC-2020-052,GV009
72,19257_A,ONC-2020-052,GV009
73,19258_A,ONC-2020-052,GV009
74,19259_A,ONC-2020-052,GV009
75,19260_A,ONC-2020-052,GV009
76,19261_A,ONC-2020-052,GV009
77,19262_A,ONC-2020-052,GV009
78,19263_A,ONC-2020-052,GV009
79,19264_A,ONC-2020-052,GV009
80,19265_A,ONC-2020-052,GV009
81,19381_B,ONC-2020-052,GV009
82,19382_B,ONC-2020-052,GV009
83,19383_B,ONC-2020-052,GV009
84,19384_B,ONC-2020-052,GV009
85,19385_B,ONC-2020-052,GV009
86,19386_B,ONC-2020-052,GV009
87,19387_B,ONC-2020-052,GV009
88,19388_B,ONC-2020-052,GV009
89,19389_B,ONC-2020-052,GV009
90,19390_B,ONC-2020-052,GV009
91,19391_B,ONC-2020-052,GV009
92,19392_B,ONC-2020-052,GV009
93,19393_B,ONC-2020-052,GV009
94,19394_B,ONC-2020-052,GV009
95,19395_B,ONC-2020-052,GV009
96,19396_B,ONC-2020-052,GV009
97,19397_B,ONC-2020-052,GV009
98,19398_B,ONC-2020-052,GV009
99,19399_B,ONC-2020-052,GV009
100,19400_B,ONC-2020-052,GV009
101,19206_B,ONC-2020-052,GV009
102,19268_B,ONC-2020-052,GV009
103,19208_B,ONC-2020-052,GV009
104,19209_B,ONC-2020-052,GV009
105,19210_B,ONC-2020-052,GV009
106,19211_B,ONC-2020-052,GV009
107,19212_B,ONC-2020-052,GV009
108,19213_B,ONC-2020-052,GV009
109,19214_B,ONC-2020-052,GV009
110,19215_B,ONC-2020-052,GV009
111,19216_B,ONC-2020-052,GV009
112,19217_B,ONC-2020-052,GV009
113,19218_B,ONC-2020-052,GV009
114,19219_B,ONC-2020-052,GV009
115,19220_B,ONC-2020-052,GV009
116,19221_B,ONC-2020-052,GV009
117,19222_B,ONC-2020-052,GV009
118,19223_B,ONC-2020-052,GV009
119,19224_B,ONC-2020-052,GV009
120,19225_B,ONC-2020-052,GV009
121,19226_B,ONC-2020-052,GV009
122,19377_B,ONC-2020-052,GV009
123,19228_B,ONC-2020-052,GV009
124,19229_B,ONC-2020-052,GV009
125,19230_B,ONC-2020-052,GV009
126,19231_B,ONC-2020-052,GV009
127,19232_B,ONC-2020-052,GV009
128,19233_B,ONC-2020-052,GV009
129,19234_B,ONC-2020-052,GV009
130,19235_B,ONC-2020-052,GV009
131,19236_B,ONC-2020-052,GV009
132,19237_B,ONC-2020-052,GV009
133,19238_B,ONC-2020-052,GV009
134,19239_B,ONC-2020-052,GV009
135,19240_B,ONC-2020-052,GV009
136,19241_B,ONC-2020-052,GV009
137,19242_B,ONC-2020-052,GV009
138,19243_B,ONC-2020-052,GV009
139,19266_B,ONC-2020-052,GV009
140,19245_B,ONC-2020-052,GV009
141,19246_B,ONC-2020-052,GV009
142,19247_B,ONC-2020-052,GV009
143,19248_B,ONC-2020-052,GV009
144,19249_B,ONC-2020-052,GV009
145,19270_B,ONC-2020-052,GV009
146,19251_B,ONC-2020-052,GV009
147,19252_B,ONC-2020-052,GV009
148,19253_B,ONC-2020-052,GV009
149,19254_B,ONC-2020-052,GV009
150,19255_B,ONC-2020-052,GV009
151,19256_B,ONC-2020-052,GV009
152,19257_B,ONC-2020-052,GV009
153,19258_B,ONC-2020-052,GV009
154,19259_B,ONC-2020-052,GV009
155,19260_B,ONC-2020-052,GV009
156,19261_B,ONC-2020-052,GV009
157,19262_B,ONC-2020-052,GV009
158,19263_B,ONC-2020-052,GV009
159,19264_B,ONC-2020-052,GV009
160,19265_B,ONC-2020-052,GV009
161,19381_C,ONC-2020-052,GV009
162,19382_C,ONC-2020-052,GV009
163,19383_C,ONC-2020-052,GV009
164,19384_C,ONC-2020-052,GV009
165,19385_C,ONC-2020-052,GV009
166,19386_C,ONC-2020-052,GV009
167,19387_C,ONC-2020-052,GV009
168,19388_C,ONC-2020-052,GV009
169,19389_C,ONC-2020-052,GV009
170,19390_C,ONC-2020-052,GV009
171,19391_C,ONC-2020-052,GV009
172,19392_C,ONC-2020-052,GV009
173,19393_C,ONC-2020-052,GV009
174,19394_C,ONC-2020-052,GV009
175,19395_C,ONC-2020-052,GV009
176,19396_C,ONC-2020-052,GV009
177,19397_C,ONC-2020-052,GV009
178,19398_C,ONC-2020-052,GV009
179,19399_C,ONC-2020-052,GV009
180,19400_C,ONC-2020-052,GV009
181,19206_C,ONC-2020-052,GV009
182,19268_C,ONC-2020-052,GV009
183,19208_C,ONC-2020-052,GV009
184,19209_C,ONC-2020-052,GV009
185,19210_C,ONC-2020-052,GV009
186,19211_C,ONC-2020-052,GV009
187,19212_C,ONC-2020-052,GV009
188,19213_C,ONC-2020-052,GV009
189,19214_C,ONC-2020-052,GV009
190,19215_C,ONC-2020-052,GV009
191,19216_C,ONC-2020-052,GV009
192,19217_C,ONC-2020-052,GV009
193,19218_C,ONC-2020-052,GV009
194,19219_C,ONC-2020-052,GV009
195,19220_C,ONC-2020-052,GV009
196,19221_C,ONC-2020-052,GV009
197,19222_C,ONC-2020-052,GV009
198,19223_C,ONC-2020-052,GV009
199,19224_C,ONC-2020-052,GV009
200,19225_C,ONC-2020-052,GV009
201,19226_C,ONC-2020-052,GV009
202,19377_C,ONC-2020-052,GV009
203,19228_C,ONC-2020-052,GV009
204,19229_C,ONC-2020-052,GV009
205,19230_C,ONC-2020-052,GV009
206,19231_C,ONC-2020-052,GV009
207,19232_C,ONC-2020-052,GV009
208,19233_C,ONC-2020-052,GV009
209,19234_C,ONC-2020-052,GV009
210,19235_C,ONC-2020-052,GV009
211,19236_C,ONC-2020-052,GV009
212,19237_C,ONC-2020-052,GV009
213,19238_C,ONC-2020-052,GV009
214,19239_C,ONC-2020-052,GV009
215,19240_C,ONC-2020-052,GV009
216,19241_C,ONC-2020-052,GV009
217,19242_C,ONC-2020-052,GV009
218,19243_C,ONC-2020-052,GV009
219,19266_C,ONC-2020-052,GV009
220,19245_C,ONC-2020-052,GV009
221,19246_C,ONC-2020-052,GV009
222,19247_C,ONC-2020-052,GV009
223,19248_C,ONC-2020-052,GV009
224,19249_C,ONC-2020-052,GV009
225,19270_C,ONC-2020-052,GV009
226,19251_C,ONC-2020-052,GV009
227,19252_C,ONC-2020-052,GV009
228,19253_C,ONC-2020-052,GV009
229,19254_C,ONC-2020-052,GV009
230,19255_C,ONC-2020-052,GV009
231,19256_C,ONC-2020-052,GV009
232,19257_C,ONC-2020-052,GV009
233,19258_C,ONC-2020-052,GV009
234,19259_C,ONC-2020-052,GV009
235,19260_C,ONC-2020-052,GV009
236,19261_C,ONC-2020-052,GV009
237,19262_C,ONC-2020-052,GV009
238,19263_C,ONC-2020-052,GV009
239,19264_C,ONC-2020-052,GV009
240,19265_C,ONC-2020-052,GV009
241,JYG,HG16S005,
242,SXH,HG16S005,
243,WJG,HG16S005,
244,DGD,HG16S005,
245,YXE,HG16S005,
246,ZQL,HG16S005,
247,YJY,HG16S005,
248,FAC,HG16S005,
249,WXB,HG16S005,
250,LXM,HG16S005,
251,MZD,HG16S005,
252,SJQ,HG16S005,
253,WXY,HG16S005,
254,ZQ,HG16S005,
255,LYF,HG16S005,
256,TXE,HG16S005,
257,ZFS,HG16S005,
258,ZXY,HG16S005,
259,LHF,HG16S005,
260,ZHY,HG16S005,
261,WYF,HG16S005,
262,XY,HG16S005,
263,CYX,HG16S005,
264,GJJ,HG16S005,
265,LHZ,HG16S005,
266,LYJ,HG16S005,
267,ZRF,HG16S005,
268,SWX,HG16S005,
269,YYH,HG16S005,
270,WSL,HG16S005,
271,HZH,HG16S005,
272,WSZ,HG16S005,
