#1,SampleID,Project,Drug_project
1,B9601_A,NEU-PD-2020-008,GV971
2,B9602_A,NEU-PD-2020-008,GV971
3,B9606_A,NEU-PD-2020-008,GV971
4,B9607_A,NEU-PD-2020-008,GV971
5,B9611_A,NEU-PD-2020-008,GV971
6,B9616_A,NEU-PD-2020-008,GV971
7,B9617_A,NEU-PD-2020-008,GV971
8,B9621_A,NEU-PD-2020-008,GV971
9,B9622_A,NEU-PD-2020-008,GV971
10,B9626_A,NEU-PD-2020-008,GV971
11,B9631_A,NEU-PD-2020-008,GV971
12,B9632_A,NEU-PD-2020-008,GV971
13,B9636_A,NEU-PD-2020-008,GV971
14,B9637_A,NEU-PD-2020-008,GV971
15,B9641_A,NEU-PD-2020-008,GV971
16,B9646_A,NEU-PD-2020-008,GV971
17,B9647_A,NEU-PD-2020-008,GV971
18,B9651_A,NEU-PD-2020-008,GV971
19,B9652_A,NEU-PD-2020-008,GV971
20,B9656_A,NEU-PD-2020-008,GV971
21,B9661_A,NEU-PD-2020-008,GV971
22,B9662_A,NEU-PD-2020-008,GV971
23,B9666_A,NEU-PD-2020-008,GV971
24,B9667_A,NEU-PD-2020-008,GV971
25,B9671_A,NEU-PD-2020-008,GV971
26,B9676_A,NEU-PD-2020-008,GV971
27,B9677_A,NEU-PD-2020-008,GV971
28,B9681_A,NEU-PD-2020-008,GV971
29,B9682_A,NEU-PD-2020-008,GV971
30,B9686_A,NEU-PD-2020-008,GV971
31,B9691_A,NEU-PD-2020-008,GV971
32,B9692_A,NEU-PD-2020-008,GV971
33,B9696_A,NEU-PD-2020-008,GV971
34,B9697_A,NEU-PD-2020-008,GV971
35,B9698_A,NEU-PD-2020-008,GV971
36,B9492_A,NEU-PD-2020-008,GV971
37,B9601_B,NEU-PD-2020-008,GV971
38,B9602_B,NEU-PD-2020-008,GV971
39,B9606_B,NEU-PD-2020-008,GV971
40,B9607_B,NEU-PD-2020-008,GV971
41,B9611_B,NEU-PD-2020-008,GV971
42,B9616_B,NEU-PD-2020-008,GV971
43,B9617_B,NEU-PD-2020-008,GV971
44,B9621_B,NEU-PD-2020-008,GV971
45,B9622_B,NEU-PD-2020-008,GV971
46,B9626_B,NEU-PD-2020-008,GV971
47,B9631_B,NEU-PD-2020-008,GV971
48,B9632_B,NEU-PD-2020-008,GV971
49,B9636_B,NEU-PD-2020-008,GV971
50,B9637_B,NEU-PD-2020-008,GV971
51,B9641_B,NEU-PD-2020-008,GV971
52,B9646_B,NEU-PD-2020-008,GV971
53,B9647_B,NEU-PD-2020-008,GV971
54,B9651_B,NEU-PD-2020-008,GV971
55,B9652_B,NEU-PD-2020-008,GV971
