#1,Sample-ID,Project
172,1283716P,Zhongshan20200915
173,1284684P,Zhongshan20200915
174,1285137P,Zhongshan20200915
175,P-NTC1-2,Zhongshan20200915
176,1285638P,Zhongshan20200915
177,1286599P,Zhongshan20200915
178,1286724P,Zhongshan20200915
179,1285589P,Zhongshan20200915
180,1288196P,Zhongshan20200915
181,1288407P,Zhongshan20200915
182,1288168P,Zhongshan20200915
183,NTC-5-2,Zhongshan20200915
184,1286824P,Zhongshan20200915
185,1288157P,Zhongshan20200915
186,1288480P,Zhongshan20200915
187,1288891P,Zhongshan20200915
188,1290027P,Zhongshan20200915
189,1289638P,Zhongshan20200915
190,1290449P,Zhongshan20200915
191,1290475P,Zhongshan20200915
192,W3,Zhongshan20200915
193,W9,Zhongshan20200915
194,W10,Zhongshan20200915
195,W11,Zhongshan20200915
196,W12,Zhongshan20200915
197,W13,Zhongshan20200915
198,W14,Zhongshan20200915
199,1247654T,Zhongshan20200915
200,1247827T,Zhongshan20200915
201,1248845T,Zhongshan20200915
202,1248143T,Zhongshan20200915
203,1250008T,Zhongshan20200915
204,1250028T,Zhongshan20200915
205,1251117T,Zhongshan20200915
206,1253667T,Zhongshan20200915
207,1254460T,Zhongshan20200915
208,1248556T,Zhongshan20200915
209,1256176T,Zhongshan20200915
210,1258137T,Zhongshan20200915
211,1257889T,Zhongshan20200915
212,1258048T,Zhongshan20200915
213,1258776T,Zhongshan20200915
214,NTC-1-2,Zhongshan20200915
215,1249386P,Zhongshan20200915
216,1249958P,Zhongshan20200915
217,Y4,Zhongshan20200915
218,Y5,Zhongshan20200915
219,Y6,Zhongshan20200915
220,Y7,Zhongshan20200915
221,Y8,Zhongshan20200915
222,Y9,Zhongshan20200915
