Project_category,Species,SampleID,Other_ID,Project,Model,Groups,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch1,Comment,Time_Point,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path
,mice,05881-2,05881_2,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05881_2,y,Fengyuan,,,,,,
,mice,05885-2,05885_2,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05885_2,y,Fengyuan,,,,,,
,mice,05887-2,05887_2,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05887_2,y,Fengyuan,,,,,,
,mice,05889-2,05889_2,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05889_2,y,Fengyuan,,,,,,
,mice,05891-2,05891_2,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05891_2,y,Fengyuan,,,,,,
,mice,05893-2,05893_2,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/2/8,68,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05893_2,y,Fengyuan,,,,,,
,mice,05895-2,05895_2,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/2/8,68,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05895_2,y,Fengyuan,,,,,,
,mice,05095-2,05095_2,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/2/8,68,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05095_2,y,Fengyuan,,,,,,
,mice,05878-2,05878_2,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,3,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05878_2,y,Fengyuan,,,,,,
,mice,05880-2,05880_2,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,3,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05880_2,y,Fengyuan,,,,,,
,mice,05882-2,05882_2,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,3,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05882_2,y,Fengyuan,,,,,,
,mice,05884-2,05884_2,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,3,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05884_2,y,Fengyuan,,,,,,
,mice,05886-2,05886_2,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,4,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05886_2,y,Fengyuan,,,,,,
,mice,05888-2,05888_2,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,4,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05888_2,y,Fengyuan,,,,,,
,mice,05890-2,05890_2,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,4,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05890_2,y,Fengyuan,,,,,,
,mice,05892-2,05892_2,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,4,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05892_2,y,Fengyuan,,,,,,
,mice,05894-2,05894_2,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/2/8,68,C57BL/6,3,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05894_2,y,Fengyuan,,,,,,
,mice,05896-2,05896_2,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/2/8,68,C57BL/6,4,厦门大学动物中心购买,动物房,20200323-16s,本组为实验中期样本,time2,X05896_2,y,Fengyuan,,,,,,
,mice,05877-3,05877_3,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05877_3,y,Fengyuan,,,,,,
,mice,05879-3,05879_3,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05879_3,y,Fengyuan,,,,,,
,mice,05881-3,05881_3,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05881_3,y,Fengyuan,,,,,,
,mice,05885-3,05885_3,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05885_3,y,Fengyuan,,,,,,
,mice,05887-3,05887_3,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05887_3,y,Fengyuan,,,,,,
,mice,05889-3,05889_3,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05889_3,y,Fengyuan,,,,,,
,mice,05891-3,05891_3,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/1/22,72,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05891_3,y,Fengyuan,,,,,,
,mice,05893-3,05893_3,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/2/25,68,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05893_3,y,Fengyuan,,,,,,
,mice,05895-3,05895_3,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/2/25,68,C57BL/6,2,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05895_3,y,Fengyuan,,,,,,
,mice,05095-3,05095_3,SZ-NLL-2020-001,,,LIPUS,,,,Female,,,,2020/2/25,68,C57BL/6,1,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05095_3,y,Fengyuan,,,,,,
,mice,05878-3,05878_3,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,3,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05878_3,y,Fengyuan,,,,,,
,mice,05880-3,05880_3,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,3,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05880_3,y,Fengyuan,,,,,,
,mice,05884-3,05884_3,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,3,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05884_3,y,Fengyuan,,,,,,
,mice,05886-3,05886_3,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,4,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05886_3,y,Fengyuan,,,,,,
,mice,05888-3,05888_3,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,4,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05888_3,y,Fengyuan,,,,,,
,mice,05890-3,05890_3,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,4,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05890_3,y,Fengyuan,,,,,,
,mice,05892-3,05892_3,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/1/22,72,C57BL/6,4,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05892_3,y,Fengyuan,,,,,,
,mice,05894-3,05894_3,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/2/25,68,C57BL/6,3,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05894_3,y,Fengyuan,,,,,,
,mice,05896-3,05896_3,SZ-NLL-2020-001,,,Sham,,,,Female,,,,2020/2/25,68,C57BL/6,4,厦门大学动物中心购买,动物房,20200323-16s,本组为试验结束后采集的样本,time3,X05896_3,y,Fengyuan,,,,,,
,mice,D062712,N12_D0,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062712,y,Fengyuan,,,,,,
,mice,D062713,N13_D0,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062713,y,Fengyuan,,,,,,
,mice,D062714,N14_D0,SZ-NLL-2020-002,,C_D0,Sham,,,,,,,,2020/6/27,,,,,,20200720-16S,,time1,D062714,y,Fengyuan,,,,,,
