Project_category,Species,SampleID,Project,Model,Groups,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch1,Comment,Time_Point,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path
,mice,D1070732,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070732,y,Fengyuan,,,,,,
,mice,D1070733,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070733,y,Fengyuan,,,,,,
,mice,D1070734,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070734,y,Fengyuan,,,,,,
,mice,D1070735,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070735,y,Fengyuan,,,,,,
,mice,D1070736,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070736,y,Fengyuan,,,,,,
,mice,D1070737,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070737,y,Fengyuan,,,,,,
,mice,D1070738,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070738,y,Fengyuan,,,,,,
,mice,D1070739,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070739,y,Fengyuan,,,,,,
,mice,D1070740,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070740,y,Fengyuan,,,,,,
,mice,D1070741,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070741,y,Fengyuan,,,,,,
,mice,D1070742,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070742,y,Fengyuan,,,,,,
,mice,D1070743,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070743,y,Fengyuan,,,,,,
,mice,D2072012,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072012,y,Fengyuan,,,,,,
,mice,D2072013,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072013,y,Fengyuan,,,,,,
,mice,D2072014,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072014,y,Fengyuan,,,,,,
,mice,D2072015,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072015,y,Fengyuan,,,,,,
,mice,D2072016,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072016,y,Fengyuan,,,,,,
,mice,D2072017,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072017,y,Fengyuan,,,,,,
,mice,D2072018,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072018,y,Fengyuan,,,,,,
